"FARM UTILITY I-1";"Implementos y Servicios Especiales";"12.5L15";"12";"1750";"52";"823";"320";"T L"
"FARM UTILITY I-1";"Implementos y Servicios Especiales";"12.5L-15 HWY";"12";"2120";"90";"823";"325";"T L"
"FARM UTILITY I-1";"Implementos y Servicios Especiales";"12.5L16";"12";"1800";"52";"856";"315";"T L"
"FARM UTILITY I-1";"Implementos y Servicios Especiales";"21.5L-16.1";"14";"3350";"36";"1110";"556";"T L"
"HD2000 II SS-1";"Implementos y Servicios Especiales";"14-17.5";"14";"3873";"80";"906";"386";"T L"
"IMPLEMENTO RAYADO F-3";"Dirección";"6.00-16";"6";"675";"68";"720";"165";"T T"
"IMPLEMENTO RAYADO F-3";"Dirección";"6.00-16";"8";"675";"68";"739";"173";"T T"
"IMPLEMENTO RAYADO F-3";"Dirección";"11.00-16";"12";"1550";"60";"927";"320";"T T"
"INDUSTRIAL SURE GRIP R-4";"Tracción";"16.9-24";"8";"2650";"28";"1295";"429";"T T"
"INDUSTRIAL SURE GRIP R-4";"Tracción";"16.9-24";"10";"2900";"32";"1295";"429";"T T"
"IT323 SS-1";"Implementos y Servicios Especiales";"10-16.5";"8";"1875";"64";"777";"267";"T L"
"IT323 SS-1";"Implementos y Servicios Especiales";"12-16.5";"10";"2540";"65";"836";"323";"T L"
"IT525 R-4";"Tracción";"17.5L-24";"10";"2800";"32";"1234";"442";"T L"
"IT525 R-4";"Tracción";"19.5L-24";"10";"3000";"26";"1321";"483";"T L"
"IT525 R-4";"Tracción";"19.5L-24";"12";"3450";"34";"1321";"483";"T L"
"IT525 R-4";"Tracción";"21L-24";"16";"3875";"32";"1377";"528";"T L"
"LABORER F-3";"Dirección";"11L-15";"10";"1060";"52";"782";"287";"T L"
"LABORER F-3";"Dirección";"11L-15";"12";"1480";"52";"813";"304";"T L"
"LABORER F-3";"Dirección";"11L-16";"10";"1120";"52";"808";"284";"T L"
"LABORER F-3";"Dirección";"11L-16";"12";"1580";"52";"838";"304";"T L"
"LABORER F-3";"Dirección";"14.5/75-16.1";"10";"1450";"40";"914";"373";"T L"
"LOGGER LUG II LS-2";"Tracción";"23.1-26";"16";"6300";"35";"1598";"582";"T T"
"LOGGER LUG II LS-2";"Tracción";"28L-26";"14";"2940";"30";"1679";"704";"T T"
"LOGGER LUG II LS-2";"Tracción";"30.5L-32";"20";"8400";"35";"1864";"765";"T T"
"OPTITRAC DT806/812/824/830 R-1W";"Tracción";"320/85R24";"122 A8";"1500";"23";"1154";"319";"T L"
"OPTITRAC DT806/812/824/830 R-1W";"Tracción";"380/85R24";"131 A8";"1950";"24";"1256";"380";"T L"
"OPTITRAC DT806/812/824/830 R-1W";"Tracción";"420/70R24";"136 A8";"2240";"35";"1232";"431";"T L"
"OPTITRAC DT806/812/824/830 R-1W";"Tracción";"420/85R24";"137 A8";"2300";"23";"1324";"454";"T L"
"OPTITRAC DT806/812/824/830 R-1W";"Tracción";"750/55R26";"160 A8";"4500";"35";"1486";"764";"T L"
"OPTITRAC DT806/812/824/830 R-1W";"Tracción";"480/70R28";"145 A8";"2900";"35";"1412";"495";"T L"
"OPTITRAC DT806/812/824/830 R-1W";"Tracción";"600/65R28";"154 A8";"3750";"35";"1494";"617";"T L"
"OPTITRAC DT806/812/824/830 R-1W";"Tracción";"460/85R30";"145 A8";"2900";"23";"1544";"455";"T L"
"OPTITRAC DT806/812/824/830 R-1W";"Tracción";"620/75R30";"163 A8";"4875";"35";"1692";"625";"T L"
"OPTITRAC DT806/812/824/830 R-1W";"Tracción";"650/75R32";"172 A8";"6300";"24";"1789";"645";"T L"
"OPTITRAC DT806/812/824/830 R-1W";"Tracción";"800/65R32";"172 A8";"6300";"35";"1853";"798";"T L"
"OPTITRAC DT806/812/824/830 R-1W";"Tracción";"900/55R32";"173 A8";"6500";"35";"1837";"914";"T L"
"OPTITRAC DT806/812/824/830 R-1W";"Tracción";"900/60R32";"176 A8";"7100";"35";"1932";"912";"T L"
"OPTITRAC DT806/812/824/830 R-1W";"Tracción";"420/85R34";"142 A8";"2650";"23";"1575";"454";"T L"
"OPTITRAC DT806/812/824/830 R-1W";"Tracción";"460/85R34";"147 A8";"3075";"23";"1853";"455";"T L"
"OPTITRAC DT806/812/824/830 R-1W";"Tracción";"520/85R42";"157 A8";"4125";"23";"1938";"556";"T L"
"PAPALEGUAS G8 F-3";"Dirección";"7.50-18";"8";"945";"56";"850";"203";"T T"
"POWER TORQUE R-1";"Tracción";"18.4-26";"10";"2362";"26";"1450";"483";"T T"
"POWER TORQUE R-1";"Tracción";"18.4-26";"12";"2985";"32";"1450";"483";"T T"
"POWER TORQUE R-1";"Tracción";"14.9-28";"8";"1880";"26";"1379";"378";"T T"
"POWER TORQUE R-1";"Tracción";"16.9-28";"8";"2180";"24";"1435";"429";"T T"
"POWER TORQUE R-1";"Tracción";"16.9-30";"6";"1895";"18";"1485";"429";"T T"
"POWER TORQUE R-1";"Tracción";"13.6-38";"6";"1660";"22";"1565";"345";"T T"
"POWER TORQUE R-1";"Tracción";"13.6-38";"14";"2430";"50";"1565";"345";"T T"
"POWER TORQUE R-1";"Tracción";"18.4-38";"8";"2715";"20";"1770";"480";"T T"
"RAYADO MAQUINA AGRICOLA I-1";"Implementos y Servicios Especiales";"7.50-16";"6";"980";"68";"790";"205";"T T"
"RIB TRACTOR F-2";"Dirección";"6.00-16";"6";"570";"52";"739";"159";"T T"
"RIB TRACTOR F-2";"Dirección";"7.50-16";"8";"870";"56";"808";"203";"T T"
"RIB TRACTOR F-2";"Dirección";"9.00-16";"10";"1250";"60";"855";"234";"T T"
"RIB TRACTOR F-2";"Dirección";"7.50-18";"8";"945";"56";"859";"203";"T T"
