"HRL D/L-3A LG-3";"17.5-25";"445";"1348";"6150";"50"
"HRL D/L-3A LG-3";"17.5-25";"445";"1348";"7300";"70"
"HRL D/L-3A LG-3";"20.5-25";"554";"1496";"4500";"29"
"HRL D/L-3A LG-3";"20.5-25";"554";"1496";"8250";"50"
"HRL D/L-3A LG-3";"20.5-25";"521";"1493";"9500";"65"
"HRL D/L-3A LG-3";"23.5-25";"597";"1617";"9500";"45"
"HRL D/L-3A LG-3";"23.5-25";"597";"1617";"10900";"55"
"HRL D/L-3A LG-3";"26.5-25";"701";"1732";"13200";"51"
"HRL D/L-3A LG-3";"26.5-25";"701";"1732";"9250";"44"
"HRL D/L-3A LG-3";"26.5-25";"701";"1732";"10000";"51"
"HRL D/L-3A LG-3";"29.5-25";"749";"1874";"15000";"50"
"HRL D/L-3A LG-3";"29.5-25";"749";"1874";"17500";"65"
"HRL D/L-3A LG-3";"29.5-29";"749";"1975";"19000";"65"
"HRL D/L-3C L-3";"20.5-25";"579";"1476";"3550";"25"
"HRL D/L-3C L-3";"20.5-25";"579";"1476";"4000";"33"
"HRL D/L-3C L-3";"23.5-25";"579";"1597";"4750";"29"
"HRL D/L 5A L5";"20.5-25";"554";"1557";"8250";"51"
"HRL D/L 5A L5";"23.5-25";"597";"1673";"9500";"45"
"HRL D/L 5A L5";"23.5-25";"597";"1673";"10900";"55"
"HRL D/L 5A L5";"26.5-25";"673";"1798";"13200";"50"
"HRL D/L 5A L5";"26.5-25";"673";"1798";"15000";"65"
"HRL D/L 5A L5";"29.5-29";"749";"2023";"16000";"50"
"HRL D/L 5A L5";"29.5-29";"765";"2004";"19000";"62"
"NRL D/L 5A L5";"35/65-33";"889";"2077";"19000";"50"
"NRL D/L 5A L5";"35/65-33";"889";"2077";"21800";"65"
"ELV 3A";"16.00-25";"432";"1493";"12500";"130"
"ELV 3A";"18.00-25";"498";"1617";"17000";"140"
"ELV 4B";"18.00-25";"498";"1673";"17000";"140"
"ELV 4B";"18.00-33";"498";"1877";"18500";"125"
"ELV 5D";"18.00-25";"498";"1617";"17000";"140"
"SMO 5B/5C/5D";"9.50-20";"283";"1052";"4250";"115"
"SMO 5B/5C/5D";"12.00-24";"325";"1275";"6900";"120"
"SMO 5B/5C/5D";"14.00-24";"389";"1412";"8500";"100"
"SMO 5B/5C/5D";"17.5-25";"445";"1400";"8250";"85"
"SMO 5B/5C/5D";"18.00-25";"523";"1666";"12500";"80"
"SMO 5B/5C/5D";"18.00-25";"523";"1666";"13600";"90"
"SGG-2A G2";"13.00-24";"333";"1278";"2360";"35"
"SGG-2A G2";"13.00-24";"333";"1278";"2725";"45"
"SGG-2A G2";"14.00-24";"362";"1348";"2800";"35"
"SGG-2A G2";"14.00-24";"362";"1348";"3075";"40"
"RKG-3B G3";"14.00-24";"361";"1354";"3650";"51"
"SG-2B G2";"13.00R24";"343";"1278";"3000";"54"
"SG-2B G2";"14.00R24";"367";"1352";"3650";"54"
"COMPACTADOR C1";"11.00-20";"298";"1074";"5900";"120"
