"hrl-3a-lge3.gif";"hrl-d-l-3a-l-g3.htm";"HRL D/L-3A LG-3";"20.5-25";"521";"1493";"9500";"65"
"hrl-3a-lge3.gif";"hrl-d-l-3a-l-g3.htm";"HRL D/L-3A LG-3";"23.5-25";"597";"1617";"9500";"45"
"hrl-3a-lge3.gif";"hrl-d-l-3a-l-g3.htm";"HRL D/L-3A LG-3";"23.5-25";"597";"1617";"10900";"55"
"hrl-3a-lge3.gif";"hrl-d-l-3a-l-g3.htm";"HRL D/L-3A LG-3";"26.5-25";"701";"1732";"13200";"51"
"hrl-3a-lge3.gif";"hrl-d-l-3a-l-g3.htm";"HRL D/L-3A LG-3";"26.5-25";"701";"1732";"9250";"44"
"hrl-3a-lge3.gif";"hrl-d-l-3a-l-g3.htm";"HRL D/L-3A LG-3";"26.5-25";"701";"1732";"10000";"51"
"hrl-3a-lge3.gif";"hrl-d-l-3a-l-g3.htm";"HRL D/L-3A LG-3";"29.5-25";"749";"1874";"15000";"50"
"hrl-3a-lge3.gif";"hrl-d-l-3a-l-g3.htm";"HRL D/L-3A LG-3";"29.5-25";"749";"1874";"17500";"65"
"hrl-3a-lge3.gif";"hrl-d-l-3a-l-g3.htm";"HRL D/L-3A LG-3";"29.5-29";"749";"1975";"19000";"65"
"hrl-d-l-3c-l-3.gif";"hrl-d-l-3c-l-3.htm";"HRL D/L-3C L-3";"20.5-25";"579";"1476";"3550";"25"
"hrl-d-l-3c-l-3.gif";"hrl-d-l-3c-l-3.htm";"HRL D/L-3C L-3";"20.5-25";"579";"1476";"4000";"33"
"hrl-d-l-3c-l-3.gif";"hrl-d-l-3c-l-3.htm";"HRL D/L-3C L-3";"23.5-25";"579";"1597";"4750";"29"
"hrl-d-l-5a-l5.gif";"hrl-d-l-5a-l5.htm";"HRL D/L 5A L5";"20.5-25";"554";"1557";"8250";"51"
"hrl-d-l-5a-l5.gif";"hrl-d-l-5a-l5.htm";"HRL D/L 5A L5";"23.5-25";"597";"1673";"9500";"45"
"hrl-d-l-5a-l5.gif";"hrl-d-l-5a-l5.htm";"HRL D/L 5A L5";"23.5-25";"597";"1673";"10900";"55"
